time,square,percentage
0.04,0.0,0.0
0.08,0.0,0.0
0.12,0.0,0.0
0.17,0.0,0.0
0.21,0.0,0.0
0.25,0.0,0.0
0.29,0.0,0.0
0.33,0.0,0.0
0.37,0.0,0.0
0.42,0.0,0.0
0.46,0.0,0.0
0.5,0.0,0.0
0.54,0.0,0.0
0.58,0.0,0.0
0.62,0.0,0.0
0.66,0.0,0.0
0.71,0.0,0.0
0.75,0.0,0.0
0.79,0.0,0.0
0.83,0.0,0.0
0.87,0.0,0.0
0.91,0.0,0.0
0.95,0.0,0.0
1.0,0.0,0.0
1.04,0.0,0.0
1.08,0.0,0.0
1.12,0.0,0.0
1.16,0.0,0.0
1.2,0.0,0.0
1.25,0.0,0.0
1.29,0.0,0.0
1.33,0.0,0.0
1.37,0.0,0.0
1.41,0.0,0.0
1.45,0.0,0.0
1.49,0.0,0.0
1.54,0.0,0.0
1.58,0.0,0.0
1.62,0.0,0.0
1.66,0.0,0.0
1.7,0.0,0.0
1.74,0.0,0.0
1.79,0.0,0.0
1.83,0.0,0.0
1.87,0.0,0.0
1.91,0.0,0.0
1.95,0.0,0.0
1.99,0.0,0.0
2.03,0.0,0.0
2.08,0.0,0.0
2.12,0.0,0.0
2.16,85.0,0.9876715176715208
2.2,125.0,1.4933056133056188
2.24,284.0,2.0428125928126017
2.28,15080.0,2.5890466290466403
2.33,421.0,3.1516691416691565
2.37,3925.0,3.849349569349587
2.41,5897.5,4.562619542619565
2.45,3494.0,5.368782298782325
2.49,21953.5,6.204214434214466
2.53,24316.5,7.065129195129231
2.57,23045.0,7.970591030591072
2.62,25434.0,8.849198099198144
2.66,25434.0,9.775539055539106
2.7,29773.0,10.692723492723548
2.74,34355.0,11.622527472527532
2.78,37393.0,12.502574992575056
2.82,35047.5,13.360947430947501
2.86,36943.0,14.186471636471708
2.91,39347.0,14.941149391149468
2.95,38066.5,15.654538164538248
2.99,39948.0,16.25437778437787
3.03,45217.5,16.783991683991772
3.07,49887.5,17.501799821799914
3.11,46463.0,17.90624294624304
3.16,49968.5,18.28515889515899
3.2,48044.5,18.60319572319582
3.24,49389.5,18.750421740421842
3.28,50615.5,19.125369765369864
3.32,49974.0,19.495423225423323
3.36,53535.0,19.792319572319673
3.4,51810.5,20.080810810810917
3.45,52880.0,20.331758241758347
3.49,51797.5,20.62092070092081
3.53,54093.0,20.948408078408185
3.57,54099.5,21.306219186219295
3.61,54069.0,21.602476982477093
3.65,55886.5,21.889925749925865
3.7,55262.5,22.22405999406011
3.74,58834.5,22.51170181170193
3.78,59469.5,22.78318087318099
3.82,59516.5,23.120980100980223
3.86,61796.5,23.533284823284944
3.9,61787.0,23.89115830115842
3.94,62458.5,24.300243540243667
3.99,65420.0,24.6739233739235
4.03,65468.0,25.031217701217827
4.07,66590.0,25.413774873775004
4.11,68332.5,25.77653697653711
4.15,69494.0,26.170558360558495
4.19,70045.0,26.528354618354754
4.24,70090.5,26.894529254529395
4.28,71177.5,27.247163647163784
4.32,71955.0,27.5924205524207
4.36,73042.0,27.910917730917873
4.4,74799.0,28.216213246213393
4.44,73594.0,28.535755865756016
4.48,74229.0,28.819798039798194
4.53,75981.5,29.1452420552422
4.57,76613.0,29.469863379863533
4.61,77192.5,29.781188001188152
4.65,77777.0,30.121440451440602
4.69,78294.0,30.421357291357445
4.73,78844.0,30.71955746955763
4.77,81345.0,31.05313335313351
4.82,81273.0,31.362557172557334
4.86,81903.0,31.683596673596842
4.9,83743.0,32.016400356400524
4.94,84825.5,32.35997029997047
4.98,85479.5,32.71348381348399
5.02,84949.5,33.06339174339191
5.07,87323.0,33.414992574992745
5.11,89038.0,33.77275319275336
5.15,89615.0,34.13487971487989
5.19,90191.5,34.50384021384039
5.23,91377.0,34.863513513513695
5.27,91977.5,35.21281556281574
5.31,92587.5,35.57422037422056
5.36,93199.0,35.92525987526006
5.4,93233.0,36.279489159489344
5.44,95563.5,36.62855657855676
5.48,96110.5,36.97799227799247
5.52,96719.0,37.31095337095356
5.56,98482.5,37.67916839916859
5.61,99022.5,38.03310959310979
5.65,100349.5,38.37946836946857
5.69,101437.0,38.742975942976145
5.73,101885.5,39.08629343629363
5.77,102507.5,39.445693495693696
5.81,103695.5,39.796409266409476
5.85,104336.5,40.18111078111099
5.9,105443.5,40.591820611820815
5.94,107348.5,41.008669438669656
5.98,107161.5,41.42234333234355
6.02,108482.0,41.84321057321079
6.06,109642.0,42.25286605286627
6.1,111285.5,42.67058806058828
6.14,112015.5,43.09145233145256
6.19,113221.0,43.48430947430969
6.23,113866.5,43.90803979804002
6.27,115571.0,44.32301455301479
6.31,116097.0,44.73052866052889
6.35,117227.5,45.164879714879945
6.39,118525.5,45.58947430947455
6.44,119616.0,46.02334719334743
6.48,122702.5,46.462714582714824
6.52,123266.5,46.90211464211488
6.56,123821.0,47.32297891297916
6.6,124402.5,47.7498069498072
6.64,124989.5,48.170395010395254
6.68,125684.0,48.58044847044873
6.73,126825.5,48.99235818235843
6.77,127929.0,49.37959607959635
6.81,129735.0,49.75604395604422
6.85,130259.5,50.126305316305576
6.89,130832.5,50.490813780814044
6.93,132685.0,50.831966141966404
6.98,133147.5,51.162174042174314
7.02,134418.0,51.47201366201392
7.06,135588.0,51.7756103356106
7.1,135672.5,52.04704781704809
7.14,136802.5,52.30320166320193
7.18,137425.0,52.545081675081946
7.22,137974.5,52.768277398277675
7.27,138003.5,53.01617463617491
7.31,139159.5,53.23403029403057
7.35,139219.5,53.43246510246537
7.39,139243.5,53.60786159786187
7.43,139796.5,53.767282447282724
7.47,140408.5,53.892886842887116
7.52,140496.5,54.00123849123876
7.56,140926.5,54.09528363528391
7.6,140809.5,54.187965547965824
7.64,141121.0,54.26086130086158
7.68,141605.5,54.3133145233148
7.72,141694.0,54.36958122958151
7.76,141664.5,54.41026433026461
7.81,141690.5,54.450692010692286
7.85,142186.0,54.49053460053488
7.89,142141.5,54.52176418176445
7.93,142121.5,54.53920106920134
7.97,142159.0,54.53920106920134
8.01,141596.0,54.53920106920134
8.05,142271.0,54.53920106920134
8.1,142161.0,54.53920106920134
8.14,142183.5,54.53920106920134
8.18,141621.5,54.53920106920134
8.22,142193.0,54.53920106920134
8.26,142253.5,54.53920106920134
8.3,142219.5,54.53920106920134
8.35,142192.5,54.53920106920134
8.39,142180.0,54.53920106920134
8.43,142260.5,54.53920106920134
8.47,142226.5,54.53920106920134
8.51,142235.5,54.53920106920134
8.55,142164.5,54.53920106920134
8.59,142205.0,54.53920106920134
8.64,141688.5,54.53920106920134
8.68,141644.0,54.53920106920134
8.72,141611.0,54.53920106920134
8.76,142174.0,54.53920106920134
8.8,141674.5,54.53920106920134
8.84,142047.0,54.53920106920134
8.89,142101.0,54.53920106920134
8.93,142039.5,54.53920106920134
8.97,141996.5,54.53920106920134
9.01,142221.0,54.53920106920134
9.05,142117.0,54.53920106920134
9.09,141533.5,54.53920106920134
9.13,142136.0,54.53920106920134
