time,square,percentage
0.04,0.0,0.0
0.08,0.0,0.0
0.12,0.0,0.0
0.17,0.0,0.0
0.21,0.0,0.0
0.25,0.0,0.0
0.29,0.0,0.0
0.33,0.0,0.0
0.37,0.0,0.0
0.42,0.0,0.0
0.46,0.0,0.0
0.5,0.0,0.0
0.54,0.0,0.0
0.58,0.0,0.0
0.62,0.0,0.0
0.67,0.0,0.0
0.71,0.0,0.0
0.75,0.0,0.0
0.79,0.0,0.0
0.83,0.0,0.0
0.87,0.0,0.0
0.91,0.0,0.0
0.96,0.0,0.0
1.0,0.0,0.0
1.04,0.0,0.0
1.08,0.0,0.0
1.12,0.0,0.0
1.16,0.0,0.0
1.21,0.0,0.0
1.25,0.0,0.0
1.29,0.0,0.0
1.33,0.0,0.0
1.37,0.0,0.0
1.41,0.0,0.0
1.45,0.0,0.0
1.5,0.0,0.0
1.54,0.0,0.0
1.58,0.0,0.0
1.62,0.0,0.0
1.66,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.79,0.0,0.0
1.83,0.0,0.0
1.87,0.0,0.0
1.91,6211.0,2.8247490347490483
1.95,9351.0,3.271042471042487
2.0,7545.5,3.7401960201960396
2.04,16416.0,4.21819423819426
2.08,16364.5,4.708963468963493
2.12,16920.0,5.1681645381645644
2.16,17493.0,5.655729135729164
2.2,18841.0,6.1389337689338
2.24,18751.0,6.610736560736595
2.29,21190.5,7.0678972378972755
2.33,21151.0,7.497629937629977
2.37,22313.5,7.905764775764816
2.41,21801.0,8.298393228393271
2.45,21151.0,8.656780516780561
2.49,22339.0,8.95378081378086
2.54,22339.0,9.22211464211469
2.58,22425.5,9.455942975943024
2.62,25244.5,9.638639738639787
2.66,25249.0,9.764214434214484
2.7,25918.0,9.952714582714634
2.74,25919.0,10.142871992872044
2.78,26517.0,10.258440748440801
2.83,26583.5,10.480653400653454
2.87,29475.0,10.70400059400065
2.91,28351.0,10.910534600534657
2.95,28843.5,11.136762696762755
2.99,29477.0,11.366706266706323
3.03,30083.5,11.57960498960505
3.08,31324.5,11.827837837837897
3.12,31982.5,12.083970893970957
3.16,31840.5,12.339245619245682
3.2,32511.0,12.588247698247763
3.24,34871.0,12.82327888327895
3.28,34948.5,13.085173745173813
3.33,34907.0,13.326893376893445
3.37,35483.0,13.557834867834938
3.41,36069.5,13.824811404811475
3.45,35514.5,14.076376596376669
3.49,36719.0,14.333994653994726
3.53,37968.0,14.583293733293806
3.57,39109.0,14.834134244134322
3.62,39126.5,15.075853875853952
3.66,40877.0,15.355699435699513
3.7,40245.0,15.604600534600614
3.74,41390.0,15.844677754677834
3.78,42609.5,16.098514998515082
3.82,43214.0,16.35406296406305
3.87,43166.5,16.618494208494294
3.91,44967.0,16.884490644490732
3.95,45486.5,17.139913869913958
3.99,46016.5,17.393359073359164
4.03,45504.0,17.674793584793676
4.07,46690.5,17.935987525987617
4.11,47266.0,18.201072171072266
4.16,47763.5,18.46590733590743
4.2,49041.5,18.71411048411058
4.24,49571.0,18.95422334422344
4.28,50296.5,19.193979803979904
4.32,50852.5,19.451737451737554
4.36,51458.5,19.7180694980696
4.41,52103.5,19.976192456192557
4.45,53261.0,20.2442975942977
4.49,54492.0,20.487264627264732
4.53,54384.5,20.738428868428976
4.57,54873.5,21.002224532224638
4.61,55554.0,21.27176715176726
4.66,56200.5,21.541737451737564
4.7,56717.0,21.812664092664203
4.74,57377.5,22.089572319572433
4.78,58007.5,22.370816750816864
4.82,59768.5,22.63561033561045
4.86,59691.0,22.903703593703714
4.9,60343.0,23.171274131274252
4.95,62154.5,23.43185922185934
4.99,62129.5,23.70574101574114
5.03,63247.0,23.983305613305735
5.07,63308.5,24.26410454410467
5.11,63931.0,24.538859518859642
5.15,64439.0,24.816964656964785
5.2,65627.0,25.08960201960215
5.24,66780.0,25.37739827739841
5.28,67500.0,25.68000891000904
5.32,68164.5,25.97601722601735
5.36,68650.5,26.26417285417299
5.4,68607.0,26.548019008019146
5.44,70492.0,26.8300237600239
5.49,71022.0,27.12286902286916
5.53,71619.5,27.427716067716208
5.57,72250.5,27.728657558657698
5.61,73298.5,28.039215919216062
5.65,74072.5,28.339664389664538
5.69,75153.5,28.639976239976388
5.74,75782.5,28.942637362637512
5.78,76348.0,29.248075438075585
5.82,77034.5,29.553855063855213
5.86,78189.0,29.860656370656525
5.9,78798.0,30.147912087912243
5.94,80012.5,30.436097416097574
5.99,80516.5,30.723896643896804
6.03,81165.0,31.020950400950557
6.07,81777.0,31.323258093258257
6.11,82967.5,31.62834570834587
6.15,84195.5,31.93098307098324
6.19,85308.5,32.21191565191582
6.23,85392.5,32.520115830116
6.28,85262.5,32.82494802494819
6.32,85977.5,33.118304128304295
6.36,87098.0,33.41709830709848
6.4,87756.5,33.70855954855973
6.44,88263.0,33.985135135135316
6.48,90084.0,34.26876447876465
6.53,90091.0,34.5540867240869
6.57,91259.5,34.838755568755744
6.61,91280.5,35.11732402732421
6.65,93118.0,35.41155034155052
6.69,93540.5,35.70359667359686
6.73,94728.5,36.00250668250687
6.77,95430.5,36.283142263142445
6.82,96003.5,36.56579744579763
6.86,96533.5,36.84838728838748
6.9,97161.5,37.13231066231086
6.94,98371.0,37.42846450846469
6.98,98355.0,37.73757944757964
7.02,98961.5,38.033171963172165
7.07,100086.5,38.317938817939016
7.11,100103.0,38.603736263736465
7.15,101333.0,38.9051885951888
7.19,102978.5,39.20147609147629
7.23,103708.0,39.49890109890131
7.27,104315.5,39.80110484110505
7.32,104896.5,40.09947727947748
7.36,105919.0,40.397825957826164
7.4,106020.0,40.678740718740926
7.44,106619.0,40.97151767151789
7.48,107232.5,41.254704484704696
7.52,108918.5,41.54036531036552
7.56,109492.5,41.82245916245938
7.61,110086.5,42.09727650727672
7.65,111207.0,42.37226611226633
7.69,111850.5,42.63795366795389
7.73,112395.5,42.897481437481666
7.77,113603.5,43.130086130086355
7.81,114259.0,43.35048411048434
7.86,114811.0,43.5732194832197
7.9,114728.5,43.783664983665204
7.94,115429.5,43.98327294327317
7.98,115445.5,44.19892782892806
8.02,116600.0,44.42152955152978
8.06,116500.0,44.64023760023783
8.1,117171.0,44.86417582417605
8.15,117783.5,45.0820225720228
8.19,118323.0,45.301336501336735
8.23,118933.5,45.52828333828357
8.27,119575.5,45.7530323730326
8.31,120153.5,46.00351945351969
8.35,120781.0,46.26332343332367
8.4,120798.0,46.538856548856785
8.44,121393.0,46.82993465993489
8.48,122504.0,47.12084348084373
8.52,123827.0,47.41880011880036
8.56,124882.0,47.73720819720844
8.6,125597.5,48.07267894267919
8.65,126128.0,48.41139590139615
8.69,127859.0,48.759518859519105
8.73,128621.0,49.105931095931346
8.77,129163.0,49.438660528660776
8.81,130318.5,49.79132165132191
8.85,130868.5,50.11362043362068
8.89,132739.5,50.42790317790344
8.94,133328.5,50.749465399465656
8.98,133855.5,51.05411642411669
9.02,135020.5,51.359411939412205
9.06,135599.5,51.6437392337395
9.1,136193.0,51.91457380457406
9.14,136279.0,52.169786159786426
9.19,136827.5,52.39870210870238
9.23,137983.5,52.60631719631747
9.27,138600.0,52.79749331749359
9.31,139019.0,52.97850311850339
9.35,139064.5,53.13766260766288
9.39,139759.5,53.2896911196914
9.44,139153.5,53.41685773685801
9.48,139782.0,53.54027324027351
9.52,140404.0,53.64745470745498
9.56,139813.5,53.73640629640657
9.6,141058.5,53.81513810513839
9.64,141652.5,53.87756162756191
9.68,140961.5,53.945654885655166
9.73,141595.5,54.00132165132192
9.77,140975.5,54.04673596673624
9.81,141585.0,54.0883249183252
9.85,141632.5,54.12255717255745
9.89,141697.0,54.15233145233173
