time,square,percentage
0.04,108.0,0.0
0.08,156.0,0.026032076032076166
0.12,88.0,0.028114048114048263
0.17,88.0,0.030582120582120745
0.21,114.5,0.032949212949213116
0.25,100.0,0.03519156519156538
0.29,199.5,0.036225126225126414
0.33,124.0,0.0373982773982776
0.37,102.5,0.03866943866943888
0.42,96.0,0.04141075141075163
0.46,181.0,0.04339768339768363
0.5,100.0,0.044716364716364955
0.54,96.0,0.04580041580041604
0.58,96.0,0.04732699732699758
0.62,112.5,0.047998217998218254
0.66,86.5,0.04825363825363851
0.71,93.0,0.048069498069498326
0.75,102.5,0.04777546777546802
0.79,52.0,0.04653697653697678
0.83,94.5,0.045147015147015385
0.87,117.0,0.045197505197505435
0.91,109.0,0.04340362340362362
0.95,96.0,0.042435402435402655
1.0,110.5,0.041927531927532145
1.04,175.0,0.03904662904662925
1.08,173.0,0.017525987525987583
1.12,187.0,0.0
1.16,64.0,0.0
1.2,100.0,0.0
1.25,122.5,0.0
1.29,131.0,0.0
1.33,86.5,0.0
1.37,110.5,0.0
1.41,100.0,0.0
1.45,95.0,0.0
1.49,70.5,0.0
1.54,92.0,0.2595218295218297
1.58,76.0,0.6309622809622831
1.62,131.0,1.019872289872294
1.66,174.0,1.4273121473121537
1.7,123.5,1.8524858924859016
1.74,162.5,2.2814671814671925
1.78,296.5,2.717520047520061
1.83,1815.5,3.1557083457083612
1.87,7589.0,3.5715651915652096
1.91,8578.0,3.991957231957253
1.95,12619.0,4.391095931095954
1.99,15522.0,4.783068013068037
2.03,17959.0,5.169910899910928
2.08,23043.0,5.529450549450579
2.12,22313.5,5.857080487080518
2.16,22279.0,6.161381051381084
2.2,22248.5,6.441104841104876
2.24,19795.0,6.678250668250704
2.28,17662.5,6.855152955152992
2.32,15680.5,7.005348975349012
2.37,15843.0,7.111915651915689
2.41,15737.0,7.2089456489456865
2.45,15292.5,7.238987228987267
2.49,15495.0,7.194469854469892
2.53,15261.5,7.113269973270008
2.57,15171.5,7.0106623106623465
2.61,16471.0,6.886860706860741
2.66,15960.0,6.802619542619578
2.7,16747.0,6.698803088803122
2.74,16611.5,6.6172854172854505
2.78,16023.5,6.589702999703033
2.82,16571.5,6.5947163647163975
2.86,17246.5,6.669658449658483
2.91,17325.5,6.7884199584199925
2.95,17201.5,6.946311256311291
2.99,18034.5,7.130190080190117
3.03,20056.5,7.2734481734482115
3.07,20019.5,7.463751113751152
3.11,20798.5,7.630602910602949
3.15,19134.0,7.828856548856589
3.2,20747.0,8.057234927234967
3.24,22947.5,8.275381645381687
